gene_symbol,gene_id,chemical,chemical_identity,evidence_tier,evidence_type,species,tissue_or_cell,direction,effect_size,p_value,fdr,dose,duration,dataset_or_reference,source_database,notes
UGT2B1,71773,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,Tier B,curated chemical-gene interaction,Rattus norvegicus,,increases,,,,,,CTD-PMID:8302279,CTD,UGT2B1 protein results in increased glucuronidation of 2-naphthol
UGT2B15,7366,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,Tier A,curated chemical-gene interaction,Homo sapiens,,increases,,,,,,CTD-PMID:7835232,CTD,UGT2B15 protein results in increased metabolism of 2-naphthol
UGT2B15,7366,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,Tier B,curated chemical-gene interaction,Rattus norvegicus,,increases,,,,,,CTD-PMID:7574722,CTD,UGT2B15 protein results in increased metabolism of 2-naphthol
SULT1E1,6783,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,Tier A,bioassay activity,Homo sapiens,,Unspecified,,,,,,PubChem-AID:747,PubChem BioAssay,assay_name=Basic StarGazer Assay on Human SULT1E1; assay_type=Other; activity_name=; target_accession=NP_005411
Sult1a1,83783,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,Tier B,bioassay activity,Rattus norvegicus,,Active,8,,,,,PubChem-AID:39219; PMID:12459019,PubChem BioAssay,assay_name=Apparent Michaelis constant (Km) against Arylsulfotransferase (AST IV); assay_type=Confirmatory; activity_name=Km; target_accession=P17988
Sult1a1,83783,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,Tier B,bioassay activity,Rattus norvegicus,,Unspecified,,,,,,PubChem-AID:39220; PMID:12459019,PubChem BioAssay,assay_name=Maximal velocity (Vmax) against Arylsulfotransferase (AST IV); assay_type=Other; activity_name=; target_accession=P17988
Sult1a1,83783,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,Tier B,bioassay activity,Rattus norvegicus,,Unspecified,,,,,,PubChem-AID:229377; PMID:12459019,PubChem BioAssay,assay_name=Ratio of kcat/Km determined for catalytic efficiency in sulfonation against AST IV; assay_type=Other; activity_name=; target_accession=P17988
CYP2A6,1548,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,Tier A,bioassay activity,Homo sapiens,,Unspecified,140,,,,,PubChem-AID:241172; PMID:15658857,PubChem BioAssay,assay_name=Inhibitory concentration against human cytochrome P450 2A6; assay_type=Confirmatory; activity_name=IC50; target_accession=P11509
Cyp2a5,13087,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,Tier B,bioassay activity,Mus musculus,,Unspecified,78,,,,,PubChem-AID:241174; PMID:15658857,PubChem BioAssay,assay_name=Inhibitory concentration against mouse cytochrome P450 2A5; assay_type=Confirmatory; activity_name=IC50; target_accession=P20852
CYP1A2,1544,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,Tier A,bioassay activity,Homo sapiens,,Unspecified,17,,,,,PubChem-AID:241334; PMID:15916432,PubChem BioAssay,assay_name=Inhibitory concentration against recombinant human cytochrome P450 1A2; assay_type=Confirmatory; activity_name=IC50; target_accession=P05177
Cyp2a5,13087,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,Tier B,bioassay activity,Mus musculus,,Unspecified,77.983,,,,,PubChem-AID:420670; PMID:19110342,PubChem BioAssay,assay_name=Inhibition of mouse CYP2A5; assay_type=Confirmatory; activity_name=IC50; target_accession=P20852
CYP2A6,1548,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,Tier A,bioassay activity,Homo sapiens,,Unspecified,139.959,,,,,PubChem-AID:420671; PMID:19110342,PubChem BioAssay,assay_name=Inhibition of human CYP2A6; assay_type=Confirmatory; activity_name=IC50; target_accession=P11509
UGT1A1,54658,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,Tier A,bioassay activity,Homo sapiens,,Unspecified,,,,,,PubChem-AID:624606; PMID:10836148,PubChem BioAssay,assay_name=Specific activity of expressed human recombinant UGT1A1; assay_type=Other; activity_name=; target_accession=P22309
UGT1A4,54657,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,Tier A,bioassay activity,Homo sapiens,,Unspecified,,,,,,PubChem-AID:624608; PMID:10836148,PubChem BioAssay,assay_name=Specific activity of expressed human recombinant UGT1A4; assay_type=Other; activity_name=; target_accession=P22310
UGT1A6,54578,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,Tier A,bioassay activity,Homo sapiens,,Unspecified,,,,,,PubChem-AID:624609; PMID:10836148,PubChem BioAssay,assay_name=Specific activity of expressed human recombinant UGT1A6; assay_type=Other; activity_name=; target_accession=P19224
UGT1A7,54577,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,Tier A,bioassay activity,Homo sapiens,,Unspecified,,,,,,PubChem-AID:624610; PMID:10836148,PubChem BioAssay,assay_name=Specific activity of expressed human recombinant UGT1A7; assay_type=Other; activity_name=; target_accession=Q9HAW7
UGT1A9,54600,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,Tier A,bioassay activity,Homo sapiens,,Unspecified,,,,,,PubChem-AID:624612; PMID:10836148,PubChem BioAssay,assay_name=Specific activity of expressed human recombinant UGT1A9; assay_type=Other; activity_name=; target_accession=O60656
UGT1A10,54575,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,Tier A,bioassay activity,Homo sapiens,,Unspecified,,,,,,PubChem-AID:624613; PMID:10836148,PubChem BioAssay,assay_name=Specific activity of expressed human recombinant UGT1A10; assay_type=Other; activity_name=; target_accession=Q9HAW8
UGT2B15,7366,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,Tier A,bioassay activity,Homo sapiens,,Unspecified,,,,,,PubChem-AID:624616; PMID:10836148,PubChem BioAssay,assay_name=Specific activity of expressed human recombinant UGT2B15; assay_type=Other; activity_name=; target_accession=P54855
TP53,7157,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,Tier A,bioassay activity,Homo sapiens,,Inconclusive,2.4932,,,,,PubChem-AID:651631,PubChem BioAssay,assay_name=qHTS assay for small molecule agonists of the p53 signaling pathway; assay_type=Confirmatory; activity_name=Potency; target_accession=P04637
TP53,7157,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,Tier A,bioassay activity,Homo sapiens,,Inactive,,,,,,PubChem-AID:651631,PubChem BioAssay,assay_name=qHTS assay for small molecule agonists of the p53 signaling pathway; assay_type=Confirmatory; activity_name=Potency; target_accession=P04637
ATAD5,79915,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,Tier A,bioassay activity,Homo sapiens,,Inactive,,,,,,PubChem-AID:651632,PubChem BioAssay,assay_name=qHTS assay for small molecules that induce genotoxicity in human embryonic kidney cells expressing luciferase-tagged ATAD5; assay_type=Confirmatory; activity_name=Potency; target_accession=Q96QE3
ATAD5,79915,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,Tier A,bioassay activity,Homo sapiens,,Inactive,,,,,,PubChem-AID:651632,PubChem BioAssay,assay_name=qHTS assay for small molecules that induce genotoxicity in human embryonic kidney cells expressing luciferase-tagged ATAD5; assay_type=Confirmatory; activity_name=Potency; target_accession=Q96QE3
ATAD5,79915,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,Tier A,bioassay activity,Homo sapiens,,Inactive,,,,,,PubChem-AID:720516,PubChem BioAssay,assay_name=qHTS assay for small molecules that induce genotoxicity in human embryonic kidney cells expressing luciferase-tagged ATAD5: Summary; assay_type=Summary; activity_name=Potency; target_accession=Q96QE3
ATAD5,79915,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,Tier A,bioassay activity,Homo sapiens,,Inactive,,,,,,PubChem-AID:720516,PubChem BioAssay,assay_name=qHTS assay for small molecules that induce genotoxicity in human embryonic kidney cells expressing luciferase-tagged ATAD5: Summary; assay_type=Summary; activity_name=Potency; target_accession=Q96QE3
TP53,7157,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,Tier A,bioassay activity,Homo sapiens,,Inactive,,,,,,PubChem-AID:720552,PubChem BioAssay,assay_name=qHTS assay for small molecule agonists of the p53 signaling pathway: Summary; assay_type=Summary; activity_name=Potency; target_accession=P04637
TP53,7157,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,Tier A,bioassay activity,Homo sapiens,,Inactive,,,,,,PubChem-AID:720552,PubChem BioAssay,assay_name=qHTS assay for small molecule agonists of the p53 signaling pathway: Summary; assay_type=Summary; activity_name=Potency; target_accession=P04637
NR3C1,2908,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,Tier A,bioassay activity,Homo sapiens,,Inactive,,,,,,PubChem-AID:720691,PubChem BioAssay,assay_name=qHTS assay to identify small molecule agonists of the glucocorticoid receptor (GR) signaling pathway; assay_type=Confirmatory; activity_name=Potency; target_accession=ADP91253
NR3C1,2908,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,Tier A,bioassay activity,Homo sapiens,,Inactive,,,,,,PubChem-AID:720691,PubChem BioAssay,assay_name=qHTS assay to identify small molecule agonists of the glucocorticoid receptor (GR) signaling pathway; assay_type=Confirmatory; activity_name=Potency; target_accession=ADP91253
NR3C1,2908,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,Tier A,bioassay activity,Homo sapiens,,Inactive,,,,,,PubChem-AID:720692,PubChem BioAssay,assay_name=qHTS assay to identify small molecule antagonists of the glucocorticoid receptor (GR) signaling pathway; assay_type=Confirmatory; activity_name=Potency; target_accession=ADP91253
NR3C1,2908,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,Tier A,bioassay activity,Homo sapiens,,Inconclusive,,,,,,PubChem-AID:720692,PubChem BioAssay,assay_name=qHTS assay to identify small molecule antagonists of the glucocorticoid receptor (GR) signaling pathway; assay_type=Confirmatory; activity_name=Potency; target_accession=ADP91253
NR3C1,2908,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,Tier A,bioassay activity,Homo sapiens,,Inactive,,,,,,PubChem-AID:720719,PubChem BioAssay,assay_name=qHTS assay to identify small molecule agonists of the glucocorticoid receptor (GR) signaling pathway: Summary; assay_type=Summary; activity_name=Potency; target_accession=ADP91253
NR3C1,2908,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,Tier A,bioassay activity,Homo sapiens,,Inactive,,,,,,PubChem-AID:720719,PubChem BioAssay,assay_name=qHTS assay to identify small molecule agonists of the glucocorticoid receptor (GR) signaling pathway: Summary; assay_type=Summary; activity_name=Potency; target_accession=ADP91253
NR3C1,2908,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,Tier A,bioassay activity,Homo sapiens,,Inactive,,,,,,PubChem-AID:720725,PubChem BioAssay,assay_name=qHTS assay to identify small molecule antagonists of the glucocorticoid receptor (GR) signaling pathway: Summary; assay_type=Summary; activity_name=; target_accession=ADP91253
NR3C1,2908,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,Tier A,bioassay activity,Homo sapiens,,Inconclusive,,,,,,PubChem-AID:720725,PubChem BioAssay,assay_name=qHTS assay to identify small molecule antagonists of the glucocorticoid receptor (GR) signaling pathway: Summary; assay_type=Summary; activity_name=; target_accession=ADP91253
AR,367,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,Tier A,bioassay activity,Homo sapiens,,Inconclusive,25.149,,,,,PubChem-AID:743035,PubChem BioAssay,assay_name=qHTS assay to identify small molecule antagonists of the androgen receptor (AR) signaling pathway; assay_type=Confirmatory; activity_name=Potency; target_accession=AAI32976
AR,367,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,Tier A,bioassay activity,Homo sapiens,,Inconclusive,,,,,,PubChem-AID:743035,PubChem BioAssay,assay_name=qHTS assay to identify small molecule antagonists of the androgen receptor (AR) signaling pathway; assay_type=Confirmatory; activity_name=Potency; target_accession=AAI32976
AR,367,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,Tier A,bioassay activity,Homo sapiens,,Inactive,,,,,,PubChem-AID:743036,PubChem BioAssay,assay_name=qHTS assay to identify small molecule agonists of the androgen receptor (AR) signaling pathway; assay_type=Confirmatory; activity_name=Potency; target_accession=AAI32976
AR,367,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,Tier A,bioassay activity,Homo sapiens,,Inactive,,,,,,PubChem-AID:743036,PubChem BioAssay,assay_name=qHTS assay to identify small molecule agonists of the androgen receptor (AR) signaling pathway; assay_type=Confirmatory; activity_name=Potency; target_accession=AAI32976
AR,367,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,Tier A,bioassay activity,Homo sapiens,,Inactive,,,,,,PubChem-AID:743040,PubChem BioAssay,assay_name=qHTS assay to identify small molecule agonists of the androgen  receptor (AR) signaling pathway using the MDA cell line; assay_type=Confirmatory; activity_name=Potency; target_accession=AAI32976
AR,367,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,Tier A,bioassay activity,Homo sapiens,,Inactive,,,,,,PubChem-AID:743040,PubChem BioAssay,assay_name=qHTS assay to identify small molecule agonists of the androgen  receptor (AR) signaling pathway using the MDA cell line; assay_type=Confirmatory; activity_name=Potency; target_accession=AAI32976
AR,367,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,Tier A,bioassay activity,Homo sapiens,,Inactive,,,,,,PubChem-AID:743042,PubChem BioAssay,assay_name=qHTS assay to identify small molecule antagonists of the androgen  receptor (AR) signaling pathway using the MDA cell line; assay_type=Confirmatory; activity_name=Potency; target_accession=AAI32976
AR,367,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,Tier A,bioassay activity,Homo sapiens,,Inactive,,,,,,PubChem-AID:743042,PubChem BioAssay,assay_name=qHTS assay to identify small molecule antagonists of the androgen  receptor (AR) signaling pathway using the MDA cell line; assay_type=Confirmatory; activity_name=Potency; target_accession=AAI32976
AR,367,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,Tier A,bioassay activity,Homo sapiens,,Inactive,,,,,,PubChem-AID:743053,PubChem BioAssay,assay_name=qHTS assay to identify small molecule agonists of the androgen receptor (AR) signaling pathway: Summary; assay_type=Summary; activity_name=Potency; target_accession=AAI32976
AR,367,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,Tier A,bioassay activity,Homo sapiens,,Inactive,,,,,,PubChem-AID:743053,PubChem BioAssay,assay_name=qHTS assay to identify small molecule agonists of the androgen receptor (AR) signaling pathway: Summary; assay_type=Summary; activity_name=Potency; target_accession=AAI32976
AR,367,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,Tier A,bioassay activity,Homo sapiens,,Inactive,,,,,,PubChem-AID:743054,PubChem BioAssay,assay_name=qHTS assay to identify small molecule antagonists of the androgen receptor (AR) signaling pathway using the MDA cell line: Summary; assay_type=Summary; activity_name=Potency; target_accession=AAI32976
AR,367,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,Tier A,bioassay activity,Homo sapiens,,Inactive,,,,,,PubChem-AID:743054,PubChem BioAssay,assay_name=qHTS assay to identify small molecule antagonists of the androgen receptor (AR) signaling pathway using the MDA cell line: Summary; assay_type=Summary; activity_name=Potency; target_accession=AAI32976
AR,367,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,Tier A,bioassay activity,Homo sapiens,,Inconclusive,56.3016,,,,,PubChem-AID:743063,PubChem BioAssay,assay_name=qHTS assay to identify small molecule antagonists of the androgen receptor (AR) signaling pathway: Summary; assay_type=Summary; activity_name=Potency; target_accession=AAI32976
AR,367,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,Tier A,bioassay activity,Homo sapiens,,Inactive,,,,,,PubChem-AID:743063,PubChem BioAssay,assay_name=qHTS assay to identify small molecule antagonists of the androgen receptor (AR) signaling pathway: Summary; assay_type=Summary; activity_name=Potency; target_accession=AAI32976
Thrb,24831,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,Tier B,bioassay activity,Rattus norvegicus,,Inactive,,,,,,PubChem-AID:743065,PubChem BioAssay,assay_name=qHTS assay to identify small molecule antagonists of the thyroid receptor (TR) signaling pathway; assay_type=Confirmatory; activity_name=Potency; target_accession=NP_001257783
Thrb,24831,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,Tier B,bioassay activity,Rattus norvegicus,,Inactive,9.6885,,,,,PubChem-AID:743065,PubChem BioAssay,assay_name=qHTS assay to identify small molecule antagonists of the thyroid receptor (TR) signaling pathway; assay_type=Confirmatory; activity_name=Potency; target_accession=NP_001257783
Thrb,24831,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,Tier B,bioassay activity,Rattus norvegicus,,Inactive,,,,,,PubChem-AID:743066,PubChem BioAssay,assay_name=qHTS assay to identify small molecule agonists of the thyroid receptor (TR) signaling pathway; assay_type=Confirmatory; activity_name=Potency; target_accession=NP_001257783
Thrb,24831,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,Tier B,bioassay activity,Rattus norvegicus,,Inactive,,,,,,PubChem-AID:743066,PubChem BioAssay,assay_name=qHTS assay to identify small molecule agonists of the thyroid receptor (TR) signaling pathway; assay_type=Confirmatory; activity_name=Potency; target_accession=NP_001257783
Thrb,24831,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,Tier B,bioassay activity,Rattus norvegicus,,Inactive,,,,,,PubChem-AID:743067,PubChem BioAssay,assay_name=qHTS assay to identify small molecule antagonists of the thyroid receptor (TR) signaling pathway: Summary; assay_type=Summary; activity_name=Potency; target_accession=NP_001257783
Thrb,24831,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,Tier B,bioassay activity,Rattus norvegicus,,Inconclusive,,,,,,PubChem-AID:743067,PubChem BioAssay,assay_name=qHTS assay to identify small molecule antagonists of the thyroid receptor (TR) signaling pathway: Summary; assay_type=Summary; activity_name=Potency; target_accession=NP_001257783
ESR1,2099,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,Tier A,bioassay activity,Homo sapiens,,Inactive,56.3016,,,,,PubChem-AID:743069,PubChem BioAssay,assay_name=qHTS assay to identify small molecule antagonists of the estrogen receptor alpha (ER-alpha) signaling pathway; assay_type=Confirmatory; activity_name=Potency; target_accession=AEP43755
ESR1,2099,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,Tier A,bioassay activity,Homo sapiens,,Inconclusive,13.8022,,,,,PubChem-AID:743069,PubChem BioAssay,assay_name=qHTS assay to identify small molecule antagonists of the estrogen receptor alpha (ER-alpha) signaling pathway; assay_type=Confirmatory; activity_name=Potency; target_accession=AEP43755
ESR1,2099,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,Tier A,bioassay activity,Homo sapiens,,Active,56.3016,,,,,PubChem-AID:743075,PubChem BioAssay,assay_name=qHTS assay to identify small molecule agonists of the estrogen receptor alpha (ER-alpha) signaling pathway; assay_type=Confirmatory; activity_name=Potency; target_accession=AEP43755
ESR1,2099,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,Tier A,bioassay activity,Homo sapiens,,Active,61.6524,,,,,PubChem-AID:743075,PubChem BioAssay,assay_name=qHTS assay to identify small molecule agonists of the estrogen receptor alpha (ER-alpha) signaling pathway; assay_type=Confirmatory; activity_name=Potency; target_accession=AEP43755
ESR1,2099,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,Tier A,bioassay activity,Homo sapiens,,Active,56.2566,,,,,PubChem-AID:743077,PubChem BioAssay,assay_name=qHTS assay to identify small molecule agonists of the estrogen receptor alpha (ER-alpha) signaling pathway: Summary; assay_type=Summary; activity_name=Potency; target_accession=AEP43755
ESR1,2099,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,Tier A,bioassay activity,Homo sapiens,,Active,43.6519,,,,,PubChem-AID:743077,PubChem BioAssay,assay_name=qHTS assay to identify small molecule agonists of the estrogen receptor alpha (ER-alpha) signaling pathway: Summary; assay_type=Summary; activity_name=Potency; target_accession=AEP43755
ESR1,2099,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,Tier A,bioassay activity,Homo sapiens,,Inactive,,,,,,PubChem-AID:743078,PubChem BioAssay,assay_name=qHTS assay to identify small molecule antagonists of the estrogen receptor alpha (ER-alpha) signaling pathway: Summary; assay_type=Summary; activity_name=Potency; target_accession=AEP43755
ESR1,2099,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,Tier A,bioassay activity,Homo sapiens,,Inconclusive,,,,,,PubChem-AID:743078,PubChem BioAssay,assay_name=qHTS assay to identify small molecule antagonists of the estrogen receptor alpha (ER-alpha) signaling pathway: Summary; assay_type=Summary; activity_name=Potency; target_accession=AEP43755
ESR1,2099,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,Tier A,bioassay activity,Homo sapiens,,Inconclusive,,,,,,PubChem-AID:743079,PubChem BioAssay,assay_name=qHTS assay to identify small molecule agonists of the estrogen receptor alpha (ER-alpha) signaling pathway using the BG1 cell line; assay_type=Confirmatory; activity_name=Potency; target_accession=AEP43755
ESR1,2099,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,Tier A,bioassay activity,Homo sapiens,,Active,76.9588,,,,,PubChem-AID:743079,PubChem BioAssay,assay_name=qHTS assay to identify small molecule agonists of the estrogen receptor alpha (ER-alpha) signaling pathway using the BG1 cell line; assay_type=Confirmatory; activity_name=Potency; target_accession=AEP43755
ESR1,2099,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,Tier A,bioassay activity,Homo sapiens,,Inactive,,,,,,PubChem-AID:743080,PubChem BioAssay,assay_name=qHTS assay to identify small molecule antagonists of the estrogen receptor alpha (ER-alpha) signaling pathway using the BG1 cell line; assay_type=Confirmatory; activity_name=Potency; target_accession=AEP43755
