module,tier,drug,n_pairs,n_datasets,n_trajectories,median_rho_state_vs_lnIC50,mean_rho_state_vs_lnIC50,fraction_negative_rho,min_pairwise_p,putative_target,pathway,drug_sensitivity_score,within_module_min_p_BH
REACTOME::REACTOME_DEGRADATION_OF_DVL,T2_subtype,Navitoclax,10,2,5,-0.09146341463414637,-0.05485707194307965,0.8,0.09421149069504983,"BCL2, BCL-XL, BCL-W",Apoptosis regulation,0.0731707317073171,0.1225941929550775
REACTOME::REACTOME_DEGRADATION_OF_DVL,T2_subtype,Trametinib,10,2,5,-0.08313019250118095,-0.017397270876089874,0.6,0.29760904586773035,"MEK1, MEK2",ERK MAPK signaling,0.049878115500708566,0.3084093741451883
REACTOME::REACTOME_DEGRADATION_OF_DVL,T2_subtype,Lestaurtinib,10,2,5,-0.06776999671736514,0.017354743407374994,0.6,0.0008273874732842825,"FLT3, JAK2, NTRK1, NTRK2, NTRK3","Other, kinases",0.04066199803041908,0.008505543225362424
REACTOME::REACTOME_DEGRADATION_OF_DVL,T2_subtype,SB505124,10,2,5,-0.06480201441690531,-0.007963858990816636,0.6,0.09779264460860772,"TGFBR1, ACVR1B, ACVR1C",RTK signaling,0.03888120865014318,0.1262950234392572
REACTOME::REACTOME_DEGRADATION_OF_DVL,T2_subtype,Selumetinib,10,2,5,-0.060462130937098846,-0.02798558309469735,0.6,0.12191667046292802,"MEK1, MEK2",ERK MAPK signaling,0.036277278562259305,0.14849566023209715
REACTOME::REACTOME_DEGRADATION_OF_DVL,T2_subtype,PD173074,10,2,5,-0.05461757303862566,0.022083378925484176,0.6,0.0031415580453448603,"FGFR1, FGFR2, FGFR3",RTK signaling,0.032770543823175395,0.016500640321369157
REACTOME::REACTOME_DEGRADATION_OF_DVL,T2_subtype,AZD8186,10,2,5,-0.03942170915855127,-0.0735709596235912,0.6,0.009629740552354117,"PI3Kbeta, PI3Kdelta",PI3K/MTOR signaling,0.02365302549513076,0.026328120446329872
REACTOME::REACTOME_DEGRADATION_OF_DVL,T2_subtype,Refametinib,10,2,5,-0.03299595141700405,0.01516194331983806,0.6,0.21184500675005546,"MEK1, MEK2",ERK MAPK signaling,0.01979757085020243,0.23020789317025053
REACTOME::REACTOME_DEGRADATION_OF_DVL,T2_subtype,XAV939,10,2,5,-0.02210307473465368,-0.06880226528493538,0.6,0.0020247259778241756,"TNKS1, TNKS2",WNT signaling,0.013261844840792207,0.012535517614809357
REACTOME::REACTOME_DEGRADATION_OF_DVL,T2_subtype,Rucaparib,10,2,5,-0.02002680818470292,0.01479045847466901,0.6,0.060757903354970735,"PARP1, PARP2",Genome integrity,0.012016084910821751,0.08874410382844945
REACTOME::REACTOME_DEGRADATION_OF_DVL,T2_subtype,ZM447439,10,2,5,-0.014170040485829961,0.037587263376737054,0.6,0.003238750041650801,"AURKA, AURKB",Mitosis,0.008502024291497977,0.016647175214085118
REACTOME::REACTOME_DEGRADATION_OF_GLI1_BY_THE_PROTEASOME,T2_subtype,Sepantronium bromide,10,2,5,-0.13885545464492832,-0.07842761790130211,0.6,0.012292522652096736,BIRC5,Apoptosis regulation,0.083313272786957,0.029812036255906085
REACTOME::REACTOME_DEGRADATION_OF_GLI1_BY_THE_PROTEASOME,T2_subtype,AZD1332,10,2,5,-0.130668016194332,-0.019514170040485827,0.6,0.0014777527449986198,"NTRK1, NTRK2, NTRK3",RTK signaling,0.0784008097165992,0.010767194214370189
REACTOME::REACTOME_DEGRADATION_OF_GLI1_BY_THE_PROTEASOME,T2_subtype,Cytarabine,10,2,5,-0.12955182072829133,0.03776121543923403,0.6,0.0003045252237591357,Antimetabolite,Other,0.07773109243697479,0.005590213036149849
REACTOME::REACTOME_DEGRADATION_OF_GLI1_BY_THE_PROTEASOME,T2_subtype,Navitoclax,10,2,5,-0.09146341463414637,-0.05485707194307965,0.8,0.09421149069504983,"BCL2, BCL-XL, BCL-W",Apoptosis regulation,0.0731707317073171,0.1225941929550775
REACTOME::REACTOME_DEGRADATION_OF_GLI1_BY_THE_PROTEASOME,T2_subtype,Trametinib,10,2,5,-0.08313019250118095,-0.017397270876089874,0.6,0.29760904586773035,"MEK1, MEK2",ERK MAPK signaling,0.049878115500708566,0.3084093741451883
REACTOME::REACTOME_DEGRADATION_OF_GLI1_BY_THE_PROTEASOME,T2_subtype,Lestaurtinib,10,2,5,-0.06776999671736514,0.017354743407374994,0.6,0.0008273874732842825,"FLT3, JAK2, NTRK1, NTRK2, NTRK3","Other, kinases",0.04066199803041908,0.008505543225362424
REACTOME::REACTOME_DEGRADATION_OF_GLI1_BY_THE_PROTEASOME,T2_subtype,SB505124,10,2,5,-0.06480201441690531,-0.007963858990816636,0.6,0.09779264460860772,"TGFBR1, ACVR1B, ACVR1C",RTK signaling,0.03888120865014318,0.1262950234392572
REACTOME::REACTOME_DEGRADATION_OF_GLI1_BY_THE_PROTEASOME,T2_subtype,Selumetinib,10,2,5,-0.060462130937098846,-0.02798558309469735,0.6,0.12191667046292802,"MEK1, MEK2",ERK MAPK signaling,0.036277278562259305,0.14849566023209715
REACTOME::REACTOME_DEGRADATION_OF_GLI1_BY_THE_PROTEASOME,T2_subtype,PD173074,10,2,5,-0.05461757303862566,0.022083378925484176,0.6,0.0031415580453448603,"FGFR1, FGFR2, FGFR3",RTK signaling,0.032770543823175395,0.016500640321369157
REACTOME::REACTOME_DEGRADATION_OF_GLI1_BY_THE_PROTEASOME,T2_subtype,AZD8186,10,2,5,-0.03942170915855127,-0.0735709596235912,0.6,0.009629740552354117,"PI3Kbeta, PI3Kdelta",PI3K/MTOR signaling,0.02365302549513076,0.026328120446329872
REACTOME::REACTOME_DEGRADATION_OF_GLI1_BY_THE_PROTEASOME,T2_subtype,Refametinib,10,2,5,-0.03299595141700405,0.01516194331983806,0.6,0.21184500675005546,"MEK1, MEK2",ERK MAPK signaling,0.01979757085020243,0.23020789317025053
REACTOME::REACTOME_DEGRADATION_OF_GLI1_BY_THE_PROTEASOME,T2_subtype,XAV939,10,2,5,-0.02210307473465368,-0.06880226528493538,0.6,0.0020247259778241756,"TNKS1, TNKS2",WNT signaling,0.013261844840792207,0.012535517614809357
REACTOME::REACTOME_DEGRADATION_OF_GLI1_BY_THE_PROTEASOME,T2_subtype,Rucaparib,10,2,5,-0.02002680818470292,0.01479045847466901,0.6,0.060757903354970735,"PARP1, PARP2",Genome integrity,0.012016084910821751,0.08874410382844945
REACTOME::REACTOME_DEGRADATION_OF_GLI1_BY_THE_PROTEASOME,T2_subtype,ZM447439,10,2,5,-0.014170040485829961,0.037587263376737054,0.6,0.003238750041650801,"AURKA, AURKB",Mitosis,0.008502024291497977,0.016647175214085118
REACTOME::REACTOME_FORMATION_OF_PARAXIAL_MESODERM,T2_subtype,Sepantronium bromide,10,2,5,-0.13885545464492832,-0.07842761790130211,0.6,0.012292522652096736,BIRC5,Apoptosis regulation,0.083313272786957,0.029812036255906085
REACTOME::REACTOME_FORMATION_OF_PARAXIAL_MESODERM,T2_subtype,AZD1332,10,2,5,-0.130668016194332,-0.019514170040485827,0.6,0.0014777527449986198,"NTRK1, NTRK2, NTRK3",RTK signaling,0.0784008097165992,0.010767194214370189
REACTOME::REACTOME_FORMATION_OF_PARAXIAL_MESODERM,T2_subtype,Cytarabine,10,2,5,-0.12955182072829133,0.03776121543923403,0.6,0.0003045252237591357,Antimetabolite,Other,0.07773109243697479,0.005590213036149849
REACTOME::REACTOME_FORMATION_OF_PARAXIAL_MESODERM,T2_subtype,Navitoclax,10,2,5,-0.09146341463414637,-0.05485707194307965,0.8,0.09421149069504983,"BCL2, BCL-XL, BCL-W",Apoptosis regulation,0.0731707317073171,0.1225941929550775
REACTOME::REACTOME_FORMATION_OF_PARAXIAL_MESODERM,T2_subtype,Trametinib,10,2,5,-0.08313019250118095,-0.017397270876089874,0.6,0.29760904586773035,"MEK1, MEK2",ERK MAPK signaling,0.049878115500708566,0.3084093741451883
REACTOME::REACTOME_FORMATION_OF_PARAXIAL_MESODERM,T2_subtype,Lestaurtinib,10,2,5,-0.06776999671736514,0.017354743407374994,0.6,0.0008273874732842825,"FLT3, JAK2, NTRK1, NTRK2, NTRK3","Other, kinases",0.04066199803041908,0.008505543225362424
REACTOME::REACTOME_FORMATION_OF_PARAXIAL_MESODERM,T2_subtype,SB505124,10,2,5,-0.06480201441690531,-0.007963858990816636,0.6,0.09779264460860772,"TGFBR1, ACVR1B, ACVR1C",RTK signaling,0.03888120865014318,0.1262950234392572
REACTOME::REACTOME_FORMATION_OF_PARAXIAL_MESODERM,T2_subtype,Selumetinib,10,2,5,-0.060462130937098846,-0.02798558309469735,0.6,0.12191667046292802,"MEK1, MEK2",ERK MAPK signaling,0.036277278562259305,0.14849566023209715
REACTOME::REACTOME_FORMATION_OF_PARAXIAL_MESODERM,T2_subtype,PD173074,10,2,5,-0.05461757303862566,0.022083378925484176,0.6,0.0031415580453448603,"FGFR1, FGFR2, FGFR3",RTK signaling,0.032770543823175395,0.016500640321369157
REACTOME::REACTOME_FORMATION_OF_PARAXIAL_MESODERM,T2_subtype,AZD8186,10,2,5,-0.03942170915855127,-0.0735709596235912,0.6,0.009629740552354117,"PI3Kbeta, PI3Kdelta",PI3K/MTOR signaling,0.02365302549513076,0.026328120446329872
REACTOME::REACTOME_FORMATION_OF_PARAXIAL_MESODERM,T2_subtype,Refametinib,10,2,5,-0.03299595141700405,0.01516194331983806,0.6,0.21184500675005546,"MEK1, MEK2",ERK MAPK signaling,0.01979757085020243,0.23020789317025053
REACTOME::REACTOME_FORMATION_OF_PARAXIAL_MESODERM,T2_subtype,XAV939,10,2,5,-0.02210307473465368,-0.06880226528493538,0.6,0.0020247259778241756,"TNKS1, TNKS2",WNT signaling,0.013261844840792207,0.012535517614809357
REACTOME::REACTOME_FORMATION_OF_PARAXIAL_MESODERM,T2_subtype,Rucaparib,10,2,5,-0.02002680818470292,0.01479045847466901,0.6,0.060757903354970735,"PARP1, PARP2",Genome integrity,0.012016084910821751,0.08874410382844945
REACTOME::REACTOME_FORMATION_OF_PARAXIAL_MESODERM,T2_subtype,ZM447439,10,2,5,-0.014170040485829961,0.037587263376737054,0.6,0.003238750041650801,"AURKA, AURKB",Mitosis,0.008502024291497977,0.016647175214085118
REACTOME::REACTOME_G1_S_DNA_DAMAGE_CHECKPOINTS,T2_subtype,Sepantronium bromide,10,2,5,-0.13885545464492832,-0.07842761790130211,0.6,0.012292522652096736,BIRC5,Apoptosis regulation,0.083313272786957,0.029812036255906085
REACTOME::REACTOME_G1_S_DNA_DAMAGE_CHECKPOINTS,T2_subtype,AZD1332,10,2,5,-0.130668016194332,-0.019514170040485827,0.6,0.0014777527449986198,"NTRK1, NTRK2, NTRK3",RTK signaling,0.0784008097165992,0.010767194214370189
REACTOME::REACTOME_G1_S_DNA_DAMAGE_CHECKPOINTS,T2_subtype,Cytarabine,10,2,5,-0.12955182072829133,0.03776121543923403,0.6,0.0003045252237591357,Antimetabolite,Other,0.07773109243697479,0.005590213036149849
REACTOME::REACTOME_G1_S_DNA_DAMAGE_CHECKPOINTS,T2_subtype,Navitoclax,10,2,5,-0.09146341463414637,-0.05485707194307965,0.8,0.09421149069504983,"BCL2, BCL-XL, BCL-W",Apoptosis regulation,0.0731707317073171,0.1225941929550775
REACTOME::REACTOME_G1_S_DNA_DAMAGE_CHECKPOINTS,T2_subtype,Trametinib,10,2,5,-0.08313019250118095,-0.017397270876089874,0.6,0.29760904586773035,"MEK1, MEK2",ERK MAPK signaling,0.049878115500708566,0.3084093741451883
REACTOME::REACTOME_G1_S_DNA_DAMAGE_CHECKPOINTS,T2_subtype,Lestaurtinib,10,2,5,-0.06776999671736514,0.017354743407374994,0.6,0.0008273874732842825,"FLT3, JAK2, NTRK1, NTRK2, NTRK3","Other, kinases",0.04066199803041908,0.008505543225362424
REACTOME::REACTOME_G1_S_DNA_DAMAGE_CHECKPOINTS,T2_subtype,SB505124,10,2,5,-0.06480201441690531,-0.007963858990816636,0.6,0.09779264460860772,"TGFBR1, ACVR1B, ACVR1C",RTK signaling,0.03888120865014318,0.1262950234392572
REACTOME::REACTOME_G1_S_DNA_DAMAGE_CHECKPOINTS,T2_subtype,Selumetinib,10,2,5,-0.060462130937098846,-0.02798558309469735,0.6,0.12191667046292802,"MEK1, MEK2",ERK MAPK signaling,0.036277278562259305,0.14849566023209715
REACTOME::REACTOME_G1_S_DNA_DAMAGE_CHECKPOINTS,T2_subtype,PD173074,10,2,5,-0.05461757303862566,0.022083378925484176,0.6,0.0031415580453448603,"FGFR1, FGFR2, FGFR3",RTK signaling,0.032770543823175395,0.016500640321369157
REACTOME::REACTOME_G1_S_DNA_DAMAGE_CHECKPOINTS,T2_subtype,AZD8186,10,2,5,-0.03942170915855127,-0.0735709596235912,0.6,0.009629740552354117,"PI3Kbeta, PI3Kdelta",PI3K/MTOR signaling,0.02365302549513076,0.026328120446329872
REACTOME::REACTOME_G1_S_DNA_DAMAGE_CHECKPOINTS,T2_subtype,Refametinib,10,2,5,-0.03299595141700405,0.01516194331983806,0.6,0.21184500675005546,"MEK1, MEK2",ERK MAPK signaling,0.01979757085020243,0.23020789317025053
REACTOME::REACTOME_G1_S_DNA_DAMAGE_CHECKPOINTS,T2_subtype,XAV939,10,2,5,-0.02210307473465368,-0.06880226528493538,0.6,0.0020247259778241756,"TNKS1, TNKS2",WNT signaling,0.013261844840792207,0.012535517614809357
REACTOME::REACTOME_G1_S_DNA_DAMAGE_CHECKPOINTS,T2_subtype,Rucaparib,10,2,5,-0.02002680818470292,0.01479045847466901,0.6,0.060757903354970735,"PARP1, PARP2",Genome integrity,0.012016084910821751,0.08874410382844945
REACTOME::REACTOME_G1_S_DNA_DAMAGE_CHECKPOINTS,T2_subtype,ZM447439,10,2,5,-0.014170040485829961,0.037587263376737054,0.6,0.003238750041650801,"AURKA, AURKB",Mitosis,0.008502024291497977,0.016647175214085118
REACTOME::REACTOME_METABOLISM_OF_POLYAMINES,T2_subtype,Sepantronium bromide,10,2,5,-0.13885545464492832,-0.07842761790130211,0.6,0.012292522652096736,BIRC5,Apoptosis regulation,0.083313272786957,0.029812036255906085
REACTOME::REACTOME_METABOLISM_OF_POLYAMINES,T2_subtype,AZD1332,10,2,5,-0.130668016194332,-0.019514170040485827,0.6,0.0014777527449986198,"NTRK1, NTRK2, NTRK3",RTK signaling,0.0784008097165992,0.010767194214370189
REACTOME::REACTOME_METABOLISM_OF_POLYAMINES,T2_subtype,Cytarabine,10,2,5,-0.12955182072829133,0.03776121543923403,0.6,0.0003045252237591357,Antimetabolite,Other,0.07773109243697479,0.005590213036149849
REACTOME::REACTOME_METABOLISM_OF_POLYAMINES,T2_subtype,Navitoclax,10,2,5,-0.09146341463414637,-0.05485707194307965,0.8,0.09421149069504983,"BCL2, BCL-XL, BCL-W",Apoptosis regulation,0.0731707317073171,0.1225941929550775
REACTOME::REACTOME_METABOLISM_OF_POLYAMINES,T2_subtype,Trametinib,10,2,5,-0.08313019250118095,-0.017397270876089874,0.6,0.29760904586773035,"MEK1, MEK2",ERK MAPK signaling,0.049878115500708566,0.3084093741451883
REACTOME::REACTOME_METABOLISM_OF_POLYAMINES,T2_subtype,Lestaurtinib,10,2,5,-0.06776999671736514,0.017354743407374994,0.6,0.0008273874732842825,"FLT3, JAK2, NTRK1, NTRK2, NTRK3","Other, kinases",0.04066199803041908,0.008505543225362424
REACTOME::REACTOME_METABOLISM_OF_POLYAMINES,T2_subtype,SB505124,10,2,5,-0.06480201441690531,-0.007963858990816636,0.6,0.09779264460860772,"TGFBR1, ACVR1B, ACVR1C",RTK signaling,0.03888120865014318,0.1262950234392572
REACTOME::REACTOME_METABOLISM_OF_POLYAMINES,T2_subtype,Selumetinib,10,2,5,-0.060462130937098846,-0.02798558309469735,0.6,0.12191667046292802,"MEK1, MEK2",ERK MAPK signaling,0.036277278562259305,0.14849566023209715
REACTOME::REACTOME_METABOLISM_OF_POLYAMINES,T2_subtype,PD173074,10,2,5,-0.05461757303862566,0.022083378925484176,0.6,0.0031415580453448603,"FGFR1, FGFR2, FGFR3",RTK signaling,0.032770543823175395,0.016500640321369157
REACTOME::REACTOME_METABOLISM_OF_POLYAMINES,T2_subtype,AZD8186,10,2,5,-0.03942170915855127,-0.0735709596235912,0.6,0.009629740552354117,"PI3Kbeta, PI3Kdelta",PI3K/MTOR signaling,0.02365302549513076,0.026328120446329872
REACTOME::REACTOME_METABOLISM_OF_POLYAMINES,T2_subtype,Refametinib,10,2,5,-0.03299595141700405,0.01516194331983806,0.6,0.21184500675005546,"MEK1, MEK2",ERK MAPK signaling,0.01979757085020243,0.23020789317025053
REACTOME::REACTOME_METABOLISM_OF_POLYAMINES,T2_subtype,XAV939,10,2,5,-0.02210307473465368,-0.06880226528493538,0.6,0.0020247259778241756,"TNKS1, TNKS2",WNT signaling,0.013261844840792207,0.012535517614809357
REACTOME::REACTOME_METABOLISM_OF_POLYAMINES,T2_subtype,Rucaparib,10,2,5,-0.02002680818470292,0.01479045847466901,0.6,0.060757903354970735,"PARP1, PARP2",Genome integrity,0.012016084910821751,0.08874410382844945
REACTOME::REACTOME_METABOLISM_OF_POLYAMINES,T2_subtype,ZM447439,10,2,5,-0.014170040485829961,0.037587263376737054,0.6,0.003238750041650801,"AURKA, AURKB",Mitosis,0.008502024291497977,0.016647175214085118
REACTOME::REACTOME_MRNA_DECAY_BY_3_TO_5_EXORIBONUCLEASE,T2_subtype,TW 37,10,2,5,-0.3228935082481994,-0.16358510683453478,0.7,3.6933578001498816e-05,"BCL2, BCL-XL, MCL1",Apoptosis regulation,0.22602545577373956,0.0031639765154617317
REACTOME::REACTOME_MRNA_DECAY_BY_3_TO_5_EXORIBONUCLEASE,T2_subtype,PD173074,10,2,5,-0.23431174089068826,-0.12795820111609585,0.8,0.00888035737443407,"FGFR1, FGFR2, FGFR3",RTK signaling,0.18744939271255062,0.03581806072767467
REACTOME::REACTOME_MRNA_DECAY_BY_3_TO_5_EXORIBONUCLEASE,T2_subtype,JNK Inhibitor VIII,10,2,5,-0.256526972316446,-0.17222362038151512,0.7,1.3593815255958003e-05,JNK,JNK and p38 signaling,0.1795688806215122,0.0013974442083124826
REACTOME::REACTOME_MRNA_DECAY_BY_3_TO_5_EXORIBONUCLEASE,T2_subtype,AZD1332,10,2,5,-0.20809716599190287,-0.12649797570850202,0.8,0.0014777527449986198,"NTRK1, NTRK2, NTRK3",RTK signaling,0.1664777327935223,0.015186755815736464
REACTOME::REACTOME_MRNA_DECAY_BY_3_TO_5_EXORIBONUCLEASE,T2_subtype,Cytarabine,10,2,5,-0.20791844476055,-0.14321256240760885,0.8,0.0027604082870206557,Antimetabolite,Other,0.16633475580844,0.021497725144372985
REACTOME::REACTOME_MRNA_DECAY_BY_3_TO_5_EXORIBONUCLEASE,T2_subtype,SN-38,10,2,5,-0.229251012145749,-0.12941295546558704,0.7,0.0032367625797701033,TOP1,DNA replication,0.16047570850202428,0.022739958474011206
REACTOME::REACTOME_MRNA_DECAY_BY_3_TO_5_EXORIBONUCLEASE,T2_subtype,Wee1 Inhibitor,10,2,5,-0.22717086834733896,-0.14209030586739563,0.7,0.00016501503189191922,"WEE1, CHEK1",Cell cycle,0.15901960784313726,0.005742308252431028
REACTOME::REACTOME_MRNA_DECAY_BY_3_TO_5_EXORIBONUCLEASE,T2_subtype,Daporinad,10,2,5,-0.20776341558950254,-0.10818611157741591,0.7,0.01739881432714743,NAMPT,Metabolism,0.14543439091265176,0.05081244638723737
REACTOME::REACTOME_MRNA_DECAY_BY_3_TO_5_EXORIBONUCLEASE,T2_subtype,Motesanib,10,2,5,-0.18244337454863774,-0.18720866615603457,0.7,5.802243661684673e-06,"VEGFR, RET, KIT, PDGFR",RTK signaling,0.1277103621840464,0.0007455883105264804
REACTOME::REACTOME_MRNA_DECAY_BY_3_TO_5_EXORIBONUCLEASE,T2_subtype,KU-55933,10,2,5,-0.1792099792099792,-0.11087427508480141,0.7,0.006746018773733647,ATM,Genome integrity,0.12544698544698543,0.029391356481396357
REACTOME::REACTOME_MRNA_DECAY_BY_3_TO_5_EXORIBONUCLEASE,T2_subtype,AZD2014,10,2,5,-0.20819838056680162,-0.10475708502024292,0.6,0.002412587984721362,"mTORC1, mTORC2",PI3K/MTOR signaling,0.12491902834008096,0.019360646231881887
REACTOME::REACTOME_MRNA_DECAY_BY_3_TO_5_EXORIBONUCLEASE,T2_subtype,Cisplatin,10,2,5,-0.17266750556224242,-0.11172624909467017,0.7,0.0006021395627637296,DNA crosslinker,DNA replication,0.12086725389356968,0.011352993579103215
REACTOME::REACTOME_MRNA_DECAY_BY_3_TO_5_EXORIBONUCLEASE,T2_subtype,Vinblastine,10,2,5,-0.16621074515811357,-0.11836777647923158,0.7,0.001115923737071054,Microtubule destabiliser,Mitosis,0.11634752161067949,0.013815102198684861
REACTOME::REACTOME_MRNA_DECAY_BY_3_TO_5_EXORIBONUCLEASE,T2_subtype,Lestaurtinib,10,2,5,-0.14504048582995951,-0.1137777656198709,0.8,0.0008273874732842825,"FLT3, JAK2, NTRK1, NTRK2, NTRK3","Other, kinases",0.11603238866396762,0.011813254479670033
REACTOME::REACTOME_MRNA_DECAY_BY_3_TO_5_EXORIBONUCLEASE,T2_subtype,PFI-1,10,2,5,-0.15799595141700407,-0.07253036437246964,0.7,9.697756723373473e-05,BRD4,Chromatin other,0.11059716599190283,0.004153872463178304
REACTOME::REACTOME_MRNA_DECAY_BY_3_TO_5_EXORIBONUCLEASE,T2_subtype,Dactolisib,10,2,5,-0.1566911040595251,-0.09377393587919904,0.7,0.009823042882763033,"PI3K (class 1), MTORC1, MTORC2",PI3K/MTOR signaling,0.10968377284166757,0.03772724013408909
REACTOME::REACTOME_MRNA_DECAY_BY_3_TO_5_EXORIBONUCLEASE,T2_subtype,Axitinib,10,2,5,-0.15647773279352228,-0.09100284495021337,0.7,0.0039758962780447925,"PDGFR, KIT, VEGFR",RTK signaling,0.1095344129554656,0.024922081547744186
REACTOME::REACTOME_MRNA_DECAY_BY_3_TO_5_EXORIBONUCLEASE,T2_subtype,Alisertib,10,2,5,-0.151125703564728,-0.06529428510173055,0.7,0.03864639892136363,AURKA,Mitosis,0.10578799249530958,0.07987501090472417
REACTOME::REACTOME_MRNA_DECAY_BY_3_TO_5_EXORIBONUCLEASE,T2_subtype,Doramapimod,10,2,5,-0.14749972644709486,-0.111616150563519,0.7,0.0044501053013395785,"p38, JNK2",JNK and p38 signaling,0.10324980851296639,0.02550477444188855
REACTOME::REACTOME_MRNA_DECAY_BY_3_TO_5_EXORIBONUCLEASE,T2_subtype,Ruxolitinib,10,2,5,-0.1454559526446561,-0.12566801619433196,0.7,0.0023011485213931667,"JAK1, JAK2","Other, kinases",0.10181916685125927,0.01877444984120774
REACTOME::REACTOME_MRNA_DECAY_BY_3_TO_5_EXORIBONUCLEASE,T2_subtype,JQ1,10,2,5,-0.13674089068825912,-0.07461538461538461,0.7,0.0038129141711816445,"BRD2, BRD3, BRD4, BRDT",Chromatin other,0.09571862348178138,0.024533768578164562
REACTOME::REACTOME_MRNA_DECAY_BY_3_TO_5_EXORIBONUCLEASE,T2_subtype,Nutlin-3a (-),10,2,5,-0.12729831144465295,-0.09335890941795949,0.7,0.0033894535118030897,MDM2,p53 pathway,0.08910881801125706,0.022739958474011206
REACTOME::REACTOME_MRNA_DECAY_BY_3_TO_5_EXORIBONUCLEASE,T2_subtype,OSI-027,10,2,5,-0.1466706609838831,-0.041410305338418316,0.6,0.017955313929996938,"MTORC1, MTORC2",PI3K/MTOR signaling,0.08800239659032985,0.05184849078662038
REACTOME::REACTOME_MRNA_DECAY_BY_3_TO_5_EXORIBONUCLEASE,T2_subtype,Navitoclax,10,2,5,-0.09607324812716342,-0.08427393721360346,0.9,0.09421149069504983,"BCL2, BCL-XL, BCL-W",Apoptosis regulation,0.08646592331444708,0.14036146729639307
REACTOME::REACTOME_MRNA_DECAY_BY_3_TO_5_EXORIBONUCLEASE,T2_subtype,Nilotinib,10,2,5,-0.12200459568880623,-0.11473903052850423,0.7,0.0001615995368270387,ABL,ABL signaling,0.08540321698216435,0.005742308252431028
REACTOME::REACTOME_MRNA_DECAY_BY_3_TO_5_EXORIBONUCLEASE,T2_subtype,Olaparib,10,2,5,-0.13822948553372175,-0.0794060432507159,0.6,0.0013734979977796345,"PARP1, PARP2",Genome integrity,0.08293769132023304,0.014707874392890253
REACTOME::REACTOME_MRNA_DECAY_BY_3_TO_5_EXORIBONUCLEASE,T2_subtype,SB590885,10,2,5,-0.11808731808731807,-0.0893697341065762,0.7,0.009544018648948173,BRAF,ERK MAPK signaling,0.08266112266112265,0.03772724013408909
REACTOME::REACTOME_MRNA_DECAY_BY_3_TO_5_EXORIBONUCLEASE,T2_subtype,GW441756,10,2,5,-0.11401137980085349,-0.05980851296640771,0.7,0.08269162862304863,NTRK1,RTK signaling,0.07980796586059744,0.12802258166339456
REACTOME::REACTOME_MRNA_DECAY_BY_3_TO_5_EXORIBONUCLEASE,T2_subtype,Talazoparib,10,2,5,-0.1136429952219426,-0.1031750373855637,0.7,0.0004731308987668898,"PARP1, PARP2",Genome integrity,0.07955009665535981,0.009353433921776207
REACTOME::REACTOME_MRNA_DECAY_BY_3_TO_5_EXORIBONUCLEASE,T2_subtype,Gemcitabine,10,2,5,-0.11032388663967611,-0.0845748987854251,0.7,0.00710269004389997,Pyrimidine antimetabolite,DNA replication,0.07722672064777328,0.030678846071971296
REACTOME::REACTOME_MRNA_DECAY_BY_3_TO_5_EXORIBONUCLEASE,T2_subtype,Vorinostat,10,2,5,-0.10985884670095196,-0.04834226939490097,0.7,0.02418748502086211,"HDAC inhibitor Class I, IIa, IIb, IV",Chromatin histone acetylation,0.07690119269066636,0.06124318867351292
REACTOME::REACTOME_MRNA_DECAY_BY_3_TO_5_EXORIBONUCLEASE,T2_subtype,Serdemetan,10,2,5,-0.1272267206477733,-0.0958698982383193,0.6,0.0017426846421706756,MDM2,p53 pathway,0.07633603238866397,0.016286180110467768
REACTOME::REACTOME_MRNA_DECAY_BY_3_TO_5_EXORIBONUCLEASE,T2_subtype,Foretinib,10,2,5,-0.12229837771633438,-0.07974811064594346,0.6,0.006040138210568551,"MET, KDR, TIE2, VEGFR3/FLT4, RON, PDGFR, FGFR1, EGFR",RTK signaling,0.07337902662980063,0.028118640075422825
REACTOME::REACTOME_MRNA_DECAY_BY_3_TO_5_EXORIBONUCLEASE,T2_subtype,AZD5438,10,2,5,-0.10394736842105262,-0.12040485829959513,0.7,0.00018596424908508762,CDK2,Cell cycle,0.07276315789473684,0.005742308252431028
REACTOME::REACTOME_MRNA_DECAY_BY_3_TO_5_EXORIBONUCLEASE,T2_subtype,Mirin,10,2,5,-0.11810506566604129,-0.09326943871939666,0.6,0.012378565515787917,MRE11,Genome integrity,0.07086303939962477,0.04193148844466878
REACTOME::REACTOME_MRNA_DECAY_BY_3_TO_5_EXORIBONUCLEASE,T2_subtype,Lenalidomide,10,2,5,-0.09893314366998579,-0.05105153736732684,0.7,0.011915951296492719,CRBN,Protein stability and degradation,0.06925320056899005,0.04166529909113781
REACTOME::REACTOME_MRNA_DECAY_BY_3_TO_5_EXORIBONUCLEASE,T2_subtype,PLX-4720,10,2,5,-0.0977214377406932,-0.09259454922484449,0.7,0.028944401434208077,BRAF,ERK MAPK signaling,0.06840500641848524,0.0669968113754221
REACTOME::REACTOME_MRNA_DECAY_BY_3_TO_5_EXORIBONUCLEASE,T2_subtype,NU7441,10,2,5,-0.09661341503446766,-0.06224860488018384,0.7,0.02838976154144397,DNAPK,Genome integrity,0.06762939052412735,0.066937327671111
